results_file,config_name,signal,snr,rho,model,layers,act,solver,alpha,K,L,variant,local_method,levels_up,ale_tag,shap_tag,shap_method,shap_sample_method,shap_sample_size,cv_r2,max_r2,ale_bias2_d1,shap_bias2_d1,ale_stddev_d1,shap_stddev_d1,rel_stddev_reduction_d1,ale_bias2_d2,shap_bias2_d2,ale_stddev_d2,shap_stddev_d2,rel_stddev_reduction_d2,ale_bias2_d3,shap_bias2_d3,ale_stddev_d3,shap_stddev_d3,rel_stddev_reduction_d3,ale_bias2_d4,shap_bias2_d4,ale_stddev_d4,shap_stddev_d4,rel_stddev_reduction_d4,ale_bias2_d5,shap_bias2_d5,ale_stddev_d5,shap_stddev_d5,rel_stddev_reduction_d5,ale_bias2_d6,shap_bias2_d6,ale_stddev_d6,shap_stddev_d6,rel_stddev_reduction_d6,ale_bias2_d7,shap_bias2_d7,ale_stddev_d7,shap_stddev_d7,rel_stddev_reduction_d7,ale_bias2_d8,shap_bias2_d8,ale_stddev_d8,shap_stddev_d8,rel_stddev_reduction_d8,ale_bias2_d9,shap_bias2_d9,ale_stddev_d9,shap_stddev_d9,rel_stddev_reduction_d9,ale_bias2_d10,shap_bias2_d10,ale_stddev_d10,shap_stddev_d10,rel_stddev_reduction_d10,shap_time_mean,ale_time_mean,f_stddev,rel_stddev_reduction
results_sample_X_gaussian_d2_904658a8_snr9_signal_threshold_nn_h10_tanh_alpha0.01_lbfgs_n1000_R100.pkl,local_methods,signal_threshold,9.0,0.95,nn_h10_tanh_alpha0.01_lbfgs,100,tanh,lbfgs,0.01,40,25,standard,interpolate,0,K40_L25_interpolate,exact,exact_shap,none,1000,0.8898,0.9000,0.007323,0.006988,0.159869,0.398289,+0.5986,0.001583,0.000352,0.158446,0.397190,+0.6011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000503,0.000352,0.09399486571602854,+0.5998
results_sample_X_gaussian_d2_904658a8_snr9_signal_threshold_nn_h10_tanh_alpha0.01_lbfgs_n1000_R100.pkl,local_methods,signal_threshold,9.0,0.95,nn_h10_tanh_alpha0.01_lbfgs,100,tanh,lbfgs,0.01,40,25,standard,self,0,K40_L25_self,exact,exact_shap,none,1000,0.8898,0.9000,0.006695,0.006988,0.158020,0.398289,+0.6033,0.001004,0.000352,0.160697,0.397190,+0.5954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000503,0.000385,0.09399486571602854,+0.5993
results_sample_X_gaussian_d2_08514e44_snr9_signal_threshold_nn_h100_tanh_alpha0.01_lbfgs_n1000_R100.pkl,local_methods,signal_threshold,9.0,0.99,nn_h100_tanh_alpha0.01_lbfgs,100,tanh,lbfgs,0.01,40,25,standard,interpolate,0,K40_L25_interpolate,exact,exact_shap,none,1000,0.8898,0.9000,0.008282,0.033710,0.328924,0.808132,+0.5930,0.001959,0.027240,0.320247,0.803097,+0.6012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002445,0.000367,0.11905445511625358,+0.5971
results_sample_X_gaussian_d2_08514e44_snr9_signal_threshold_nn_h100_tanh_alpha0.01_lbfgs_n1000_R100.pkl,local_methods,signal_threshold,9.0,0.99,nn_h100_tanh_alpha0.01_lbfgs,100,tanh,lbfgs,0.01,40,25,standard,path_rep,0,K40_L25_path_rep,exact,exact_shap,none,1000,0.8898,0.9000,0.006208,0.033710,0.330497,0.808132,+0.5910,0.002210,0.027240,0.319773,0.803097,+0.6018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002445,0.000439,0.11905445511625358,+0.5964
results_sample_X_gaussian_d2_08514e44_snr9_signal_threshold_nn_h100_tanh_alpha0.01_lbfgs_n1000_R100.pkl,local_methods,signal_threshold,9.0,0.99,nn_h100_tanh_alpha0.01_lbfgs,100,tanh,lbfgs,0.01,40,25,standard,self,0,K40_L25_self,exact,exact_shap,none,1000,0.8898,0.9000,0.006487,0.033710,0.332051,0.808132,+0.5891,0.002462,0.027240,0.320079,0.803097,+0.6014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002445,0.000398,0.11905445511625358,+0.5953
results_sample_X_gaussian_d2_26e192a0_snr9_signal_basic_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_basic,9.0,0.7,nn_h3_tanh_alpha0.0001_lbfgs,3,tanh,lbfgs,0.0001,40,25,standard,interpolate,0,K40_L25_interpolate,exact,exact_shap,none,1000,0.9006,0.9000,0.000443,0.001320,0.094635,0.301196,+0.6858,0.002915,0.001610,0.171283,0.309622,+0.4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000388,0.000352,0.08072906097668221,+0.5663
results_sample_X_gaussian_d2_08514e44_snr9_signal_nonlinear_nn_h10_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_nonlinear,9.0,0.99,nn_h10_tanh_alpha0.0001_lbfgs,10,tanh,lbfgs,0.01,40,25,standard,path_integral,0,K40_L25_path_integral,exact,exact_shap,none,1000,0.8890,0.9000,0.001184,0.049803,0.229257,0.512631,+0.5528,0.012630,0.057278,0.232390,0.517670,+0.5511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000503,0.005081,0.07532692283350868,+0.5519
results_sample_X_gaussian_d2_904658a8_snr9_signal_nonlinear_nn_h10_tanh_alpha0.01_lbfgs_n1000_R100.pkl,local_methods,signal_nonlinear,9.0,0.95,nn_h10_tanh_alpha0.01_lbfgs,10,tanh,lbfgs,0.01,40,25,standard,path_rep,0,K40_L25_path_rep,exact,exact_shap,none,1000,0.8890,0.9000,0.000498,0.013696,0.103712,0.219960,+0.5285,0.001504,0.018908,0.119238,0.225493,+0.4712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000504,0.000439,0.07826348129377748,+0.4999
results_sample_X_gaussian_d2_904658a8_snr9_signal_nonlinear_nn_h10_tanh_alpha0.01_lbfgs_n1000_R100.pkl,local_methods,signal_nonlinear,9.0,0.95,nn_h10_tanh_alpha0.01_lbfgs,10,tanh,lbfgs,0.01,40,25,standard,self,0,K40_L25_self,exact,exact_shap,none,1000,0.8890,0.9000,0.000504,0.013696,0.104076,0.219960,+0.5268,0.001633,0.018908,0.120330,0.225493,+0.4664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000504,0.000395,0.07826348129377748,+0.4966
results_sample_X_gaussian_d2_904658a8_snr9_signal_nonlinear_nn_h10_tanh_alpha0.01_lbfgs_n1000_R100.pkl,local_methods,signal_nonlinear,9.0,0.95,nn_h10_tanh_alpha0.01_lbfgs,10,tanh,lbfgs,0.01,40,25,standard,interpolate,0,K40_L25_interpolate,exact,exact_shap,none,1000,0.8890,0.9000,0.000504,0.013696,0.104517,0.219960,+0.5248,0.010667,0.018908,0.121094,0.225493,+0.4630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000504,0.000356,0.07826348129377748,+0.4939
